Star Rating,Monster Name,Quest,Runner,Time,Time (s),Weapon,Platform,Monster/General,Quest/General,Monster/Weapon,Quest/Weapon
6,Alatreon,Dawn of the Death Star,TBT,"06'32""08",392.08,LBG,PS4,31,21,1,1
6,Alatreon,Dawn of the Death Star,恶魔的眼睛xx,"06'34""58",394.58,LS,PS4,32,22,7,5
6,Alatreon,Dawn of the Death Star,RUI,"06'35""53",395.53,LS,PS4,33,23,8,6
6,Alatreon,The Evening Star,なつめ棗 (Natsume),"06'46""06",406.06,DB,PS4,34,11,5,5
6,Alatreon,Dawn of the Death Star,郁闷的岚龙,"06'48""38",408.38,Hammer,PC,35,24,1,1
6,Alatreon,Dawn of the Death Star,梭梭m,"06'49""83",409.83,IG,PC,36,25,5,5
6,Alatreon,Dawn of the Death Star,Benji-boi,"06'49""90",409.9,SA,PS4,37,26,2,2
6,Alatreon,Dawn of the Death Star,むぎ (mugi),"06'49""91",409.91,LS,PS4,38,27,9,7
6,Alatreon,Dawn of the Death Star,KCGemini,"06'53""65",413.65,Lance,PS4,39,28,1,1
6,Alatreon,The Evening Star,Fan,"06'56""65",416.65,CB,PC,40,12,3,3
6,Alatreon,Dawn of the Death Star,seemo,"06'59""98",419.98,Hammer,PS4,41,29,2,2
6,Alatreon,Dawn of the Death Star,LucentAegis (イージス),"07'05""06",425.06,LS,PS4,42,30,10,8
6,Alatreon,Dawn of the Death Star,Okami,"07'06""63",426.63,GS,PC,43,31,6,6
6,Alatreon,The Evening Star, Mai LBG,"07'12""83",432.83,LBG,PC,44,13,2,1
6,Alatreon,Dawn of the Death Star,shinobu ssb4,"07'13""60",433.6,Lance,PS4,45,32,2,2
6,Alatreon,The Evening Star,RUI,"07'19""53",439.53,LS,PS4,46,14,11,3
6,Alatreon,Dawn of the Death Star,arnold,"07'19""83",439.83,Bow,PC,47,33,1,1
6,Alatreon,Dawn of the Death Star,ケツの割れ目桃太 (Ketsunowarememomota),"07'21""56",441.56,LS,PS4,48,34,12,9
6,Alatreon,Dawn of the Death Star,Lis,"07'22""11",442.11,Bow,PC,49,35,2,2
6,Alatreon,Dawn of the Death Star,Yae,"07'23""73",443.73,Lance,PC,50,36,3,3
6,Alatreon,Dawn of the Death Star,个远点,"07'28""76",448.76,IG,PS4,51,37,6,6
6,Alatreon,The Evening Star,Mars丶永恒,"07'30""13",450.13,LS,PC,52,15,13,4
6,Alatreon,Dawn of the Death Star,獅獅,"07'37""00",457.0,Bow,PC,53,38,3,3
6,Alatreon,Dawn of the Death Star,Deaga,"07'39""58",459.58,SA,PS4,54,39,3,3
6,Alatreon,Dawn of the Death Star,cj,"07'40""70",460.7,GS,PS4,55,40,7,7
6,Alatreon,The Evening Star,Crowoly,"07'41""88",461.88,DB,PC,56,16,6,6
6,Alatreon,Dawn of the Death Star,Alternum,"07'45""58",465.58,IG,PC,57,41,7,7
6,Alatreon,The Evening Star,KCGemini,"07'49""51",469.51,Lance,PS4,58,17,4,1
6,Alatreon,The Evening Star,Benji-boi,"07'50""25",470.25,SA,PS4,59,18,4,1
6,Alatreon,Dawn of the Death Star,Booper,"07'50""96",470.96,SA,PS4,60,42,5,4
6,Alatreon,Dawn of the Death Star,factory super,"07'51""76",471.76,SA,PC,61,43,6,5
6,Alatreon,Dawn of the Death Star,NickOfTime,"07'56""55",476.55,SA,PC,62,44,7,6
6,Alatreon,The Evening Star,Alternum,"07'56""63",476.63,IG,PC,63,19,8,1
6,Alatreon,The Evening Star,TBT,"08'04""33",484.33,LBG,PS4,64,20,3,2
6,Alatreon,Dawn of the Death Star,Kazane,"08'09""91",489.91,Bow,PC,65,45,4,4
6,Alatreon,The Evening Star,Millium(Millium_밀리엄),"08'10""21",490.21,SnS,PS4,66,21,9,3
6,Alatreon,Dawn of the Death Star,りざRZX,"08'22""36",502.36,Bow,PS4,67,46,5,5
6,Alatreon,The Evening Star,seemo,"08'35""83",515.83,Hammer,PS4,68,22,3,1
6,Alatreon,Dawn of the Death Star,Aneila,"08'37""90",517.9,LS,PS4,69,47,14,10
6,Alatreon,Dawn of the Death Star,のら (Nora),"08'39""33",519.33,SA,PS4,70,48,8,7
6,Alatreon,Dawn of the Death Star,무라마사,"08'41""56",521.56,DB,PS4,71,49,7,1
6,Alatreon,The Evening Star,ねね (Nene),"08'42""55",522.55,LBG,PC,72,23,4,3
6,Alatreon,Dawn of the Death Star,Nito,"08'47""25",527.25,LS,PC,73,50,15,11
6,Alatreon,The Evening Star,Mistil,"08'47""88",527.88,GS,PC,74,24,8,1
6,Alatreon,Dawn of the Death Star,ZeroFata,"08'53""11",533.11,Bow,PC,75,51,6,6
6,Alatreon,Dawn of the Death Star,Woven,"09'19""75",559.75,Lance,PC,76,52,5,4
6,Alatreon,Dawn of the Death Star,MasterBaker,"09'30""61",570.61,GS,PC,77,53,9,8
6,Alatreon,The Evening Star,Jay,"09'30""73",570.73,LBG,PC,78,25,5,4
6,Alatreon,Dawn of the Death Star,Kyle0516,"09'45""76",585.76,Bow,PC,79,54,7,7
6,Alatreon,The Evening Star,Woven,"09'51""76",591.76,Lance,PC,80,26,6,2
6,Alatreon,Dawn of the Death Star,Tera,"09'59""30",599.3,DB,PC,81,55,8,2
6,Alatreon,The Evening Star,레테 (Lette),"10'46""28",646.28,LS,PC,82,27,16,5
6,Alatreon,The Evening Star,Zenkeyron,"11'06""91",666.91,LS,PS4,83,28,17,6
6,Alatreon,The Evening Star,PPKPKPKP,"11'38""38",698.38,HH,PC,84,29,1,1
6,Alatreon,The Evening Star,N00bKefka,"11'47""98",707.98,SA,PC,85,30,9,2
6,Alatreon,Dawn of the Death Star,N00bKefka,"12'27""45",747.45,CB,PC,86,56,4,1
6,Alatreon,The Evening Star,potatotomato,"12'40""23",760.23,HH,PC,87,31,2,2
6,Alatreon,Dawn of the Death Star,potatotomato,"13'43""53",823.53,HH,PC,88,57,3,1
6,Alatreon,Dawn of the Death Star,Taxman,"14'16""36",856.36,HH,PC,89,58,4,2
6,Alatreon,The Evening Star,Zook,"14'49""48",889.48,HH,PC,90,32,5,3
6,Alatreon,The Evening Star,나으리 (Meowster),"14'57""63",897.63,HH,PC,91,33,6,4
6,Arch-tempered Namielle,The Distant Dark Tide,Relial,"05'36""45",336.45,Bow,PC,1,1,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,yuuki,"06'53""30",413.3,LS,PS4,2,2,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,わんだふる (Wonderful),"07'15""45",435.45,CB,PS4,3,3,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,Anne Luca,"07'53""26",473.26,LS,PC,4,4,2,2
6,Arch-tempered Namielle,The Distant Dark Tide,DRE,"07'56""45",476.45,SA,Xbox,5,5,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,ハルケン (Haruken),"08'44""75",524.75,Lance,PS4,6,6,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,TBT,"08'53""16",533.16,LBG,PS4,7,7,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,Liset,"08'58""05",538.05,HBG,PC,8,8,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,suzume,"09'45""80",585.8,SnS,PC,9,9,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,Kazane,"09'54""66",594.66,IG,PC,10,10,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,CherishedFox,"10'03""38",603.38,SnS,PC,11,11,2,2
6,Arch-tempered Namielle,The Distant Dark Tide,アフロさん (Aphrodite),"10'24""08",624.08,Lance,PS4,12,12,2,2
6,Arch-tempered Namielle,The Distant Dark Tide,庸人自扰的阿扰,"11'22""91",682.91,Hammer,PC,13,13,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,Ryukishi,"12'44""61",764.61,LS,PC,14,14,3,3
6,Arch-tempered Namielle,The Distant Dark Tide,Fred,"13'26""06",806.06,GS,PC,15,15,1,1
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,slime,"05'17""51",317.51,SnS,PC,1,1,1,1
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,Qy_C,"05'48""30",348.3,LS,PC,2,2,1,1
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,タナボタ,"06'21""56",381.56,GS,PS4,3,3,1,1
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,Peppo,"06'27""35",387.35,LS,PC,4,4,2,2
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,Aris,"06'30""51",390.51,GS,PC,5,5,2,2
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,KhalidSenpai,"06'36""56",396.56,IG,PC,6,6,1,1
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,寝不足ちゃん,"06'37""13",397.13,IG,PS4,7,7,2,2
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,RrCa,"06'43""93",403.93,LS,PC,8,8,3,3
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,레이치,"06'52""95",412.95,GS,PC,9,9,3,3
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,seemo,"06'56""51",416.51,Hammer,PS4,10,10,1,1
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,Momo,"07'15""40",435.4,IG,PS4,11,11,3,3
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,인생은셀프 (JIN),"07'21""10",441.1,SnS,PS4,12,12,2,2
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,Rang,"07'21""30",441.3,SnS,PC,13,13,3,3
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,んご (ngo),"07'21""75",441.75,CB,PS4,14,14,1,1
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,ゆのみの茶庵,"07'25""35",445.35,LS,PS4,15,15,4,4
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,Benji-boi,"07'36""06",456.06,SA,PS4,16,16,1,1
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,Crowoly,"07'43""80",463.8,DB,PC,17,17,1,1
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,Rage-,"08'10""78",490.78,IG,PC,18,18,4,4
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,KCGemini,"08'31""71",511.71,Lance,PS4,19,19,1,1
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,Alex_,"08'51""51",531.51,Lance,PC,20,20,2,2
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,ハルケン (Haruken),"09'16""36",556.36,Lance,PS4,21,21,3,3
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,めがーぬ (Meganu),"09'47""60",587.6,HH,PS4,22,22,1,1
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,Yanxi,"10'05""23",605.23,Lance,PC,23,23,4,4
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,Zook,"10'46""00",646.0,HH,PC,24,24,2,2
6,Arch-tempered Velkhana,The Place Where Winter Sleeps,Wipebeef,"14'12""61",852.61,HH,PC,25,25,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,量子催眠,"01'56""08",116.08,HBG,PC,1,1,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,早餐奶 (airA),"01'58""70",118.7,HBG,PC,2,2,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,slime,"02'23""95",143.95,SnS,PC,3,3,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,寝不足ちゃん,"02'27""86",147.86,IG,PS4,4,4,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,夏芒,"02'33""91",153.91,Bow,PC,5,5,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Saico,"02'38""43",158.43,Bow,PC,6,6,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,ほわいと (White),"02'41""36",161.36,SnS,PS4,7,7,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,とないと (tonight),"02'42""46",162.46,Bow,PS4,8,8,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Tamago,"02'44""51",164.51,DB,PC,9,9,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,AmeliaWY,"02'44""96",164.96,CB,PC,10,10,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Tidus69,"02'45""75",165.75,Bow,PC,11,11,4,4
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Aris,"02'48""58",168.58,GS,PC,12,12,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,ぜん (Zen),"02'50""20",170.2,SnS,PS4,13,13,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,AkantoreX,"02'51""55",171.55,CB,PC,14,14,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,黑泽阳一,"02'52""48",172.48,DB,PC,15,15,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,早餐奶 (airA),"02'53""15",173.15,Bow,PC,16,16,5,5
6,Brute Tigrex,Special Arena: MR Brute Tigrex,なつめ棗 (Natsume),"02'53""50",173.5,DB,PS4,17,17,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,めておら (Meteor),"02'56""63",176.63,SnS,PS4,18,18,4,4
6,Brute Tigrex,Special Arena: MR Brute Tigrex,トーリィ (Torri),"02'56""83",176.83,Bow,PS4,19,19,6,6
6,Brute Tigrex,Special Arena: MR Brute Tigrex,포토워크PTWK,"02'57""43",177.43,CB,PC,20,20,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,SH3RMSY,"03'06""66",186.66,CB,Xbox,21,21,4,4
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Rolltorest,"03'06""98",186.98,LBG,PC,22,22,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,noshiro,"03'07""50",187.5,LS,PC,23,23,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Everyheart,"03'10""25",190.25,Bow,PS4,24,24,7,7
6,Brute Tigrex,Special Arena: MR Brute Tigrex,PalmBrinks,"03'13""85",193.85,SnS,PS4,25,25,5,5
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Hohenheim,"03'14""31",194.31,LS,PS4,26,26,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,RrCa,"03'17""26",197.26,LS,PC,27,27,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,はやと (Hayato),"03'17""51",197.51,Bow,PS4,28,28,8,8
6,Brute Tigrex,Special Arena: MR Brute Tigrex,TBT,"03'18""31",198.31,LBG,PS4,29,29,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Louwegi,"03'18""55",198.55,GS,PC,30,30,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Uden,"03'18""96",198.96,DB,PS4,31,31,4,4
6,Brute Tigrex,Special Arena: MR Brute Tigrex,さかす (Sakasu),"03'19""78",199.78,Bow,PS4,32,32,9,9
6,Brute Tigrex,Special Arena: MR Brute Tigrex,ガラハッド (GALAHAD),"03'22""80",202.8,CB,PS4,33,33,5,5
6,Brute Tigrex,Special Arena: MR Brute Tigrex,MasterBaker,"03'23""56",203.56,GS,PC,34,34,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,だーよし,"03'23""80",203.8,IG,PC,35,35,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,factory super,"03'26""15",206.15,SA,PC,36,36,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Gilgy,"03'26""75",206.75,GL,PC,37,37,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,ノイ (Noi),"03'27""75",207.75,LBG,PS4,38,38,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Mugime,"03'27""78",207.78,Bow,PS4,39,39,10,10
6,Brute Tigrex,Special Arena: MR Brute Tigrex,ひできんぐ (hideking),"03'28""25",208.25,DB,PS4,40,40,5,5
6,Brute Tigrex,Special Arena: MR Brute Tigrex,笑さん (warasan),"03'29""26",209.26,IG,PS4,41,41,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Anne Luca,"03'29""51",209.51,LS,PS4,42,42,4,4
6,Brute Tigrex,Special Arena: MR Brute Tigrex,ばろ (Baro),"03'29""73",209.73,IG,PS4,43,43,4,4
6,Brute Tigrex,Special Arena: MR Brute Tigrex,막강한부엉이 (mightowllll),"03'30""86",210.86,Bow,PS4,44,44,11,11
6,Brute Tigrex,Special Arena: MR Brute Tigrex,寝不足ちゃん,"03'31""00",211.0,LS,PS4,45,45,5,5
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Kusaemon,"03'34""43",214.43,SA,PC,46,46,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,トモキ (Tomoki),"03'34""68",214.68,LBG,PS4,47,47,4,4
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Aqua (tigana0210),"03'36""85",216.85,Hammer,PS4,48,48,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,CeraCymmetry,"03'39""10",219.1,CB,PC,49,49,6,6
6,Brute Tigrex,Special Arena: MR Brute Tigrex,RYO,"03'39""31",219.31,LS,PS4,50,50,6,6
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Millan Rain,"03'41""15",221.15,Bow,PS4,51,51,12,12
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Mistil,"03'41""18",221.18,GS,PC,52,52,4,4
6,Brute Tigrex,Special Arena: MR Brute Tigrex,over,"03'42""18",222.18,CB,PC,53,53,7,7
6,Brute Tigrex,Special Arena: MR Brute Tigrex,21firered ,"03'43""96",223.96,CB,PC,54,54,8,8
6,Brute Tigrex,Special Arena: MR Brute Tigrex,CuttingEdges,"03'46""80",226.8,CB,PS4,55,55,9,9
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Tigrex Tiranos,"03'46""91",226.91,GS,PC,56,56,5,5
6,Brute Tigrex,Special Arena: MR Brute Tigrex,らいおんねこ,"03'47""26",227.26,CB,PS4,57,57,10,10
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Ryo,"03'49""73",229.73,GL,PS4,58,58,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Attacker,"03'51""83",231.83,DB,PS4,59,59,6,6
6,Brute Tigrex,Special Arena: MR Brute Tigrex,透旬 (Sukeshun),"03'52""88",232.88,LS,PS4,60,60,7,7
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Herrys,"03'53""83",233.83,GS,PS4,61,61,6,6
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Extros,"03'56""20",236.2,Bow,PS4,62,62,13,13
6,Brute Tigrex,Special Arena: MR Brute Tigrex,のら (Nora),"03'56""95",236.95,SA,PS4,63,63,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,yuuki,"03'58""18",238.18,LS,PS4,64,64,8,8
6,Brute Tigrex,A Roar that Splinters the Sky,Ray,"03'58""85",238.85,LBG,PS4,65,1,5,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,String,"04'02""16",242.16,Lance,PC,66,65,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Alex_,"04'05""26",245.26,Lance,PC,67,66,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,梭梭m,"04'06""99",246.99,IG,PS4,68,67,5,5
6,Brute Tigrex,Special Arena: MR Brute Tigrex,トレミー (Toremi),"04'07""83",247.83,DB,PS4,69,68,7,7
6,Brute Tigrex,Special Arena: MR Brute Tigrex,longinusacg,"04'08""35",248.35,SnS,PS4,70,69,6,6
6,Brute Tigrex,Special Arena: MR Brute Tigrex,トーカ (Toka),"04'08""80",248.8,SA,PS4,71,70,4,4
6,Brute Tigrex,Special Arena: MR Brute Tigrex, Mai LBG,"04'11""36",251.36,LBG,PS4,72,71,6,5
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Del-Pi,"04'13""21",253.21,SnS,PS4,73,72,7,7
6,Brute Tigrex,Special Arena: MR Brute Tigrex,soulfree00,"04'14""31",254.31,GS,PS4,74,73,7,7
6,Brute Tigrex,Special Arena: MR Brute Tigrex,woodfishman,"04'17""80",257.8,Lance,PS4,75,74,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,elfin,"04'19""71",259.71,LS,PS4,76,75,9,9
6,Brute Tigrex,Special Arena: MR Brute Tigrex,香子兰 (Vanilla),"04'19""91",259.91,DB,PS4,77,76,8,8
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Kay,"04'20""40",260.4,Hammer,PS4,78,77,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,hitoshi,"04'22""93",262.93,LS,PS4,79,78,10,10
6,Brute Tigrex,Special Arena: MR Brute Tigrex,막강한부엉이 (mightowllll),"04'23""58",263.58,LBG,PS4,80,79,7,6
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Hybris,"04'24""98",264.98,Hammer,PS4,81,80,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,すぷかれ〜,"04'25""91",265.91,SA,PS4,82,81,5,5
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Vanov,"04'28""10",268.1,CB,PS4,83,82,11,11
6,Brute Tigrex,Special Arena: MR Brute Tigrex,猫车川KT (chimera),"04'32""00",272.0,LS,PS4,84,83,11,11
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Synergy Mygos,"04'35""86",275.86,LS,PS4,85,84,12,12
6,Brute Tigrex,Special Arena: MR Brute Tigrex,惠飛須沢胡桃,"04'36""13",276.13,HH,PC,86,85,1,1
6,Brute Tigrex,Special Arena: MR Brute Tigrex,玄茶,"04'36""60",276.6,Hammer,PS4,87,86,4,4
6,Brute Tigrex,Special Arena: MR Brute Tigrex,わんだふる (Wonderful),"04'42""38",282.38,CB,PS4,88,87,12,12
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Ru,"04'42""40",282.4,LS,PS4,89,88,13,13
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Preydator,"04'42""78",282.78,GS,PS4,90,89,8,8
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Somefeet,"04'43""06",283.06,Lance,PS4,91,90,4,4
6,Brute Tigrex,Special Arena: MR Brute Tigrex,YAMA,"04'47""10",287.1,GL,PS4,92,91,3,3
6,Brute Tigrex,Special Arena: MR Brute Tigrex,とーれん (Toren),"04'47""81",287.81,SA,PS4,93,92,6,6
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Vanov,"04'48""03",288.03,SA,PS4,94,93,7,7
6,Brute Tigrex,Special Arena: MR Brute Tigrex,ZebraQuake,"04'53""28",293.28,IG,PS4,95,94,6,6
6,Brute Tigrex,Special Arena: MR Brute Tigrex,だるまゆき (Daruma Yuki),"04'56""15",296.15,SA,PS4,96,95,8,8
6,Brute Tigrex,Special Arena: MR Brute Tigrex,RocksteadyIsMyDaddy,"04'59""43",299.43,CB,PS4,97,96,13,13
6,Brute Tigrex,Special Arena: MR Brute Tigrex,Leon,"04'59""46",299.46,CB,PS4,98,97,14,14
6,Brute Tigrex,Special Arena: MR Brute Tigrex,sweet beru,"05'20""83",320.83,DB,PS4,99,98,9,9
6,Brute Tigrex,Special Arena: MR Brute Tigrex,seemo,"05'32""11",332.11,Hammer,PS4,100,99,5,5
6,Brute Tigrex,Special Arena: MR Brute Tigrex,sweet beru,"05'45""31",345.31,GS,PS4,101,100,9,9
6,Brute Tigrex,Special Arena: MR Brute Tigrex,床ぺろ (Yukapero),"05'50""88",350.88,HH,PS4,102,101,2,2
6,Brute Tigrex,Special Arena: MR Brute Tigrex,DRE,"06'01""46",361.46,SA,PS4,103,102,9,9
6,Brute Tigrex,Special Arena: MR Brute Tigrex,りおなるど,"06'02""73",362.73,SA,PS4,104,103,10,10
6,Brute Tigrex,Special Arena: MR Brute Tigrex,delbuster,"06'23""45",383.45,LBG,PS4,105,104,8,7
6,Brute Tigrex,Special Arena: MR Brute Tigrex,SEAFIGHT,"06'31""16",391.16,SnS,PS4,106,105,8,8
6,Brute Tigrex,Special Arena: MR Brute Tigrex,MaestroNox,"06'43""23",403.23,SnS,PS4,107,106,9,9
6,Brute Tigrex,Special Arena: MR Brute Tigrex,hf,"06'48""05",408.05,LBG,PS4,108,107,9,8
6,Fatalis,Fade to Black,wagiri,"09'33""88",573.88,HBG,PS4,1,1,1,1
6,Fatalis,Fade to Black,痴人思梦,"09'53""61",593.61,GS,PC,2,2,1,1
6,Fatalis,Fade to Black,fatalisrx,"10'36""10",636.1,GS,PC,3,3,2,2
6,Fatalis,Fade to Black,noicie,"10'42""35",642.35,HBG,PC,4,4,2,2
6,Fatalis,Fade to Black,早餐奶 (airA),"10'43""95",643.95,Bow,PC,5,5,1,1
6,Fatalis,Fade to Black,Ruxi,"10'43""98",643.98,DB,PC,6,6,1,1
