Star Rating,Monster Name,Quest,Runner,Time,Time (s),Weapon,Platform,Ruleset,Monster/General,Quest/General,Monster/Weapon,Quest/Weapon
6,Alatreon,The Evening Star,Relial,"04'44""13",284.13,LBG,PC,Freestyle,22,12,2,1
6,Alatreon,Dawn of the Death Star,Vivern96,"04'53""06",293.06,SA,PC,Freestyle,23,11,1,1
6,Alatreon,The Evening Star,荒古遗陳,"04'53""75",293.75,SnS,PC,Freestyle,24,13,4,2
6,Alatreon,Dawn of the Death Star,Bertrand (베르트랑),"04'54""90",294.9,GS,PS4,Freestyle,25,12,7,5
6,Alatreon,The Evening Star,望遠鏡 (VulpesMH),"04'57""53",297.53,SnS,PS4,Freestyle,26,14,5,3
6,Alatreon,Dawn of the Death Star,slime,"05'07""96",307.96,SnS,PC,TA Rules,27,13,6,3
6,Alatreon,Dawn of the Death Star,望遠鏡 (VulpesMH),"05'08""05",308.05,SnS,PS4,Freestyle,28,14,7,4
6,Alatreon,Dawn of the Death Star,ボム (Bomb),"05'08""31",308.31,GS,PS4,Freestyle,29,15,8,6
6,Alatreon,The Evening Star,yinyin lai,"05'11""33",311.33,CB,PC,Freestyle,30,15,1,1
6,Alatreon,The Evening Star,HCZS,"05'14""06",314.06,CB,PC,Freestyle,31,16,2,2
6,Alatreon,Dawn of the Death Star,Anri,"05'15""76",315.76,SA,PC,Freestyle,32,16,2,2
6,Alatreon,Dawn of the Death Star,HCZS,"05'18""93",318.93,CB,PC,Freestyle,33,17,3,1
6,Alatreon,Dawn of the Death Star,0口0 (WeeeXD),"05'21""65",321.65,GS,PC,Freestyle,34,18,9,7
6,Alatreon,Dawn of the Death Star,レガリア (Regalia),"05'22""10",322.1,SA,PS4,Freestyle,35,19,3,3
6,Alatreon,Dawn of the Death Star,[BK]별빛대성,"05'22""30",322.3,GS,PS4,Freestyle,36,20,10,8
6,Alatreon,The Evening Star,Vivern96,"05'24""58",324.58,DB,PC,Freestyle,37,17,1,1
6,Alatreon,Dawn of the Death Star,흙손대장 (SandHand),"05'25""85",325.85,GS,PS4,Freestyle,38,21,11,9
6,Alatreon,Dawn of the Death Star,Teo,"05'26""85",326.85,SnS,PC,TA Rules,39,22,8,5
6,Alatreon,The Evening Star,いわたわし (Iwatawashi),"05'30""85",330.85,CB,PS4,Freestyle,40,18,4,3
6,Alatreon,The Evening Star,crafter_king_,"05'30""93",330.93,Bow,PC,Freestyle,41,19,1,1
6,Alatreon,Dawn of the Death Star,miralis,"05'31""96",331.96,GS,PS4,Freestyle,42,23,12,10
6,Alatreon,Dawn of the Death Star,suzume,"05'32""00",332.0,SnS,PC,TA Rules,43,24,9,6
6,Alatreon,Dawn of the Death Star,Mzly,"05'32""71",332.71,LS,PC,Freestyle,44,25,1,1
6,Alatreon,Dawn of the Death Star,KhalidSenpai,"05'33""08",333.08,IG,PC,TA Rules,45,26,1,1
6,Alatreon,Dawn of the Death Star,霞绫,"05'33""15",333.15,LS,PC,Freestyle,46,27,2,2
6,Alatreon,Dawn of the Death Star,crafter_king_,"05'33""60",333.6,Bow,PC,Freestyle,47,28,2,1
6,Alatreon,Dawn of the Death Star,Firefly,"05'35""03",335.03,SA,PC,Freestyle,48,29,4,4
6,Alatreon,Dawn of the Death Star,TyOx MH,"05'35""20",335.2,GL,Xbox,Freestyle,49,30,3,1
6,Alatreon,The Evening Star,인생은셀프 (JIN),"05'35""40",335.4,SnS,PS4,TA Rules,50,20,10,4
6,Alatreon,Dawn of the Death Star,だるまゆき (Daruma Yuki),"05'35""43",335.43,SA,PS4,Freestyle,51,31,5,5
6,Alatreon,The Evening Star,대전설GLGD,"05'35""66",335.66,DB,PC,Freestyle,52,21,2,2
6,Alatreon,The Evening Star,Mzly,"05'36""21",336.21,LS,PC,Freestyle,53,22,3,1
6,Alatreon,The Evening Star,slime,"05'36""41",336.41,SnS,PC,TA Rules,54,23,11,5
6,Alatreon,The Evening Star,Vivern96,"05'38""20",338.2,SA,PC,Freestyle,55,24,6,1
6,Alatreon,The Evening Star,Nephalem,"05'39""10",339.1,CB,PC,Freestyle,56,25,5,4
6,Alatreon,Dawn of the Death Star,Aris,"05'39""23",339.23,GS,PC,TA Rules,57,32,13,11
6,Alatreon,Dawn of the Death Star,Jared,"05'39""31",339.31,SnS,PC,Freestyle,58,33,12,7
6,Alatreon,The Evening Star,사명대갈 (sa myeong),"05'39""78",339.78,SnS,PS4,Freestyle,59,26,13,6
6,Alatreon,Dawn of the Death Star,玄茶,"05'40""50",340.5,Hammer,PS4,Freestyle,60,34,1,1
6,Alatreon,The Evening Star,GODJUN,"05'41""20",341.2,CB,PS4,Freestyle,61,27,6,5
6,Alatreon,Dawn of the Death Star,String,"05'41""41",341.41,Lance,PC,Freestyle,62,35,1,1
6,Alatreon,The Evening Star,Qy_C,"05'41""85",341.85,LS,PC,TA Rules,63,28,4,2
6,Alatreon,The Evening Star,Note,"05'43""03",343.03,DB,PC,Freestyle,64,29,3,3
6,Alatreon,The Evening Star,(토르)Thor,"05'43""78",343.78,CB,PC,Freestyle,65,30,7,6
6,Alatreon,Dawn of the Death Star,だーよし,"05'46""46",346.46,IG,PC,TA Rules,66,36,2,2
6,Alatreon,Dawn of the Death Star,골다,"05'46""80",346.8,GS,PC,Freestyle,67,37,14,12
6,Alatreon,Dawn of the Death Star,Pochi,"05'47""35",347.35,IG,PS4,Freestyle,68,38,3,3
6,Alatreon,The Evening Star,Theo,"05'48""13",348.13,CB,PC,TA Rules,69,31,8,7
6,Alatreon,The Evening Star,黑泽阳一,"05'48""16",348.16,DB,PC,TA Rules,70,32,4,4
6,Alatreon,Dawn of the Death Star,Hydrogen,"05'48""48",348.48,LS,PC,Freestyle,71,39,5,3
6,Alatreon,Dawn of the Death Star,Ryan,"05'49""26",349.26,GS,PC,TA Rules,72,40,15,13
6,Alatreon,Dawn of the Death Star,Vivern96,"05'50""61",350.61,DB,PC,Freestyle,73,41,5,1
6,Alatreon,Dawn of the Death Star,あーるえむ,"05'50""78",350.78,LS,PC,Freestyle,74,42,6,4
6,Alatreon,The Evening Star,Tidus69,"05'50""95",350.95,Bow,PC,Freestyle,75,33,3,2
6,Alatreon,Dawn of the Death Star,SavageDiavolo,"05'51""51",351.51,SnS,PS4,Freestyle,76,43,14,8
6,Alatreon,Dawn of the Death Star,Ogarddrago,"05'52""00",352.0,LS,PC,Freestyle,77,44,7,5
6,Alatreon,Dawn of the Death Star,Theo,"05'53""75",353.75,IG,PC,TA Rules,78,45,4,4
6,Alatreon,The Evening Star,Ruse,"05'54""03",354.03,DB,PC,Freestyle,79,34,6,5
6,Alatreon,Dawn of the Death Star,latellight,"05'54""68",354.68,SnS,PC,TA Rules,80,46,15,9
6,Alatreon,Dawn of the Death Star,ひらひら,"05'54""96",354.96,GS,PS4,Freestyle,81,47,16,14
6,Alatreon,Dawn of the Death Star,Heartfilia,"05'56""55",356.55,LS,PC,TA Rules,82,48,8,6
6,Alatreon,The Evening Star,Rainy,"05'56""70",356.7,CB,PC,TA Rules,83,35,9,8
6,Alatreon,The Evening Star,[BK]별빛대성,"05'57""06",357.06,GS,PS4,Freestyle,84,36,17,3
6,Alatreon,The Evening Star,0口0 (WeeeXD),"05'57""21",357.21,GS,PC,Freestyle,85,37,18,4
6,Alatreon,Dawn of the Death Star,casti94,"05'57""41",357.41,LS,PC,Freestyle,86,49,9,7
6,Alatreon,The Evening Star,Pochi,"05'57""45",357.45,IG,PS4,Freestyle,87,38,5,1
6,Alatreon,The Evening Star,GhostCortex,"05'57""65",357.65,DB,PS4,TA Rules,88,39,7,6
6,Alatreon,Dawn of the Death Star,z00p,"05'57""95",357.95,SnS,PC,TA Rules,89,50,16,10
6,Alatreon,The Evening Star,マサ (masa),"05'58""43",358.43,DB,PS4,Freestyle,90,40,8,7
6,Alatreon,Dawn of the Death Star,Jay,"05'59""25",359.25,IG,PC,TA Rules,91,51,6,5
6,Alatreon,Dawn of the Death Star,Vivern96,"05'59""40",359.4,LS,PC,Freestyle,92,52,10,8
6,Alatreon,The Evening Star,Doong,"05'59""93",359.93,CB,PC,Freestyle,93,41,10,9
6,Alatreon,Dawn of the Death Star,Cosmoplayer,"06'07""66",367.66,LS,PS4,Freestyle,94,53,11,9
6,Alatreon,The Evening Star,YAMA,"06'09""08",369.08,GL,PS4,Freestyle,95,42,4,3
6,Alatreon,The Evening Star,Attacker,"06'10""31",370.31,DB,PS4,TA Rules,96,43,9,8
6,Alatreon,Dawn of the Death Star,Synergy Mygos,"06'13""61",373.61,LS,PC,TA Rules,97,54,12,10
6,Alatreon,Dawn of the Death Star,普通人阿懒,"06'14""30",374.3,GS,PC,TA Rules,98,55,19,15
6,Alatreon,Dawn of the Death Star,Tidus69,"06'15""48",375.48,Bow,PC,Freestyle,99,56,4,2
6,Alatreon,Dawn of the Death Star,たちばなな (Tachibanana),"06'16""70",376.7,LS,PS4,Freestyle,100,57,13,11
6,Alatreon,Dawn of the Death Star,Konnorad,"06'18""13",378.13,DB,PC,Freestyle,101,58,10,2
6,Alatreon,Dawn of the Death Star,dufte,"06'20""45",380.45,LS,PC,TA Rules,102,59,14,12
6,Alatreon,Dawn of the Death Star, miko,"06'21""06",381.06,LS,PS4,TA Rules,103,60,15,13
6,Alatreon,Dawn of the Death Star,Remi,"06'21""10",381.1,IG,PC,Freestyle,104,61,7,6
6,Alatreon,The Evening Star,あーるえむ,"06'23""35",383.35,LS,PC,TA Rules,105,44,16,3
6,Alatreon,Dawn of the Death Star,Woong TV,"06'25""80",385.8,LS,PC,Freestyle,106,62,17,14
6,Alatreon,Dawn of the Death Star,LionHart,"06'27""03",387.03,Hammer,PC,Freestyle,107,63,2,2
6,Alatreon,Dawn of the Death Star,寝不足ちゃん,"06'27""30",387.3,IG,PS4,Freestyle,108,64,8,7
6,Alatreon,Dawn of the Death Star,放学后的大表哥w,"06'27""48",387.48,SA,PC,TA Rules,109,65,7,6
6,Alatreon,The Evening Star,Pochi,"06'28""48",388.48,Hammer,PS4,Freestyle,110,45,3,1
6,Alatreon,The Evening Star,黑化由岐,"06'30""31",390.31,DB,PS4,TA Rules,111,46,11,9
6,Alatreon,Dawn of the Death Star,TBT,"06'32""08",392.08,LBG,PS4,TA Rules,112,66,3,2
6,Alatreon,Dawn of the Death Star,V--14--,"06'33""26",393.26,HBG,PS4,Freestyle,113,67,10,4
6,Alatreon,Dawn of the Death Star,恶魔的眼睛xx,"06'34""58",394.58,LS,PS4,TA Rules,114,68,18,15
6,Alatreon,Dawn of the Death Star,RUI,"06'35""53",395.53,LS,PS4,TA Rules,115,69,19,16
6,Alatreon,The Evening Star,ボム (Bomb),"06'38""55",398.55,GS,PS4,Freestyle,116,47,20,5
6,Alatreon,The Evening Star,TITENGGALET,"06'46""06",406.06,DB,PC,Freestyle,117,48,12,10
6,Alatreon,The Evening Star,なつめ棗 (Natsume),"06'46""06",406.06,DB,PS4,TA Rules,118,49,13,11
6,Alatreon,Dawn of the Death Star,郁闷的岚龙,"06'48""38",408.38,Hammer,PC,TA Rules,119,70,4,3
6,Alatreon,Dawn of the Death Star,梭梭m,"06'49""83",409.83,IG,PC,TA Rules,120,71,9,8
6,Alatreon,Dawn of the Death Star,Benji-boi,"06'49""90",409.9,SA,PS4,TA Rules,121,72,8,7
6,Alatreon,Dawn of the Death Star,むぎ (mugi),"06'49""91",409.91,LS,PS4,TA Rules,122,73,20,17
6,Alatreon,Dawn of the Death Star,nursEcoli,"06'51""26",411.26,DB,PC,Freestyle,123,74,14,3
6,Alatreon,The Evening Star,玄茶,"06'51""51",411.51,Hammer,PS4,Freestyle,124,50,5,2
6,Alatreon,Dawn of the Death Star,KCGemini,"06'53""65",413.65,Lance,PS4,TA Rules,125,75,2,2
6,Alatreon,The Evening Star,Vivern96,"06'55""13",415.13,LS,PC,Freestyle,126,51,21,4
6,Alatreon,The Evening Star,抹茶 (Matcha),"06'55""71",415.71,GL,PS4,Freestyle,127,52,5,4
6,Alatreon,Dawn of the Death Star,とないと (tonight),"06'56""08",416.08,Bow,PS4,Freestyle,128,76,5,3
6,Alatreon,Dawn of the Death Star,Vycery,"06'56""25",416.25,Bow,PC,Freestyle,129,77,6,4
6,Alatreon,Dawn of the Death Star,けるこ,"06'56""56",416.56,LBG,PS4,Freestyle,130,78,4,3
6,Alatreon,The Evening Star,Fan,"06'56""65",416.65,CB,PC,TA Rules,131,53,11,10
6,Alatreon,The Evening Star,바나나샷아저씨(bananashot),"06'57""96",417.96,LBG,PC,Freestyle,132,54,5,2
6,Alatreon,Dawn of the Death Star,Honeybutter,"06'59""88",419.88,LS,PC,Freestyle,133,79,22,18
6,Alatreon,Dawn of the Death Star,seemo,"06'59""98",419.98,Hammer,PS4,TA Rules,134,80,6,4
6,Alatreon,Dawn of the Death Star,LucentAegis (イージス),"07'05""06",425.06,LS,PS4,TA Rules,135,81,23,19
6,Alatreon,Dawn of the Death Star,Okami,"07'06""63",426.63,GS,PC,TA Rules,136,82,21,16
6,Alatreon,The Evening Star, Mai LBG,"07'12""83",432.83,LBG,PC,TA Rules,137,55,6,3
6,Alatreon,Dawn of the Death Star,shinobu ssb4,"07'13""60",433.6,Lance,PS4,TA Rules,138,83,3,3
6,Alatreon,The Evening Star,RUI,"07'19""53",439.53,LS,PS4,TA Rules,139,56,24,5
6,Alatreon,Dawn of the Death Star,arnold,"07'19""83",439.83,Bow,PC,TA Rules,140,84,7,5
6,Alatreon,Dawn of the Death Star,ケツの割れ目桃太 (Ketsunowarememomota),"07'21""56",441.56,LS,PS4,TA Rules,141,85,25,20
6,Alatreon,Dawn of the Death Star,Lis,"07'22""11",442.11,Bow,PC,TA Rules,142,86,8,6
6,Alatreon,Dawn of the Death Star,Yae,"07'23""73",443.73,Lance,PC,TA Rules,143,87,4,4
6,Alatreon,The Evening Star,とないと (tonight),"07'27""33",447.33,Bow,PS4,Freestyle,144,57,9,3
6,Alatreon,Dawn of the Death Star,个远点,"07'28""76",448.76,IG,PS4,TA Rules,145,88,10,9
6,Alatreon,The Evening Star,Mars丶永恒,"07'30""13",450.13,LS,PC,TA Rules,146,58,26,6
6,Alatreon,The Evening Star,Stefano,"07'32""16",452.16,GS,PS4,Freestyle,147,59,22,6
6,Alatreon,Dawn of the Death Star,Windra,"07'33""05",453.05,DB,PC,Freestyle,148,89,15,4
6,Alatreon,The Evening Star,LionHart,"07'33""38",453.38,Hammer,PC,Freestyle,149,60,7,3
6,Alatreon,Dawn of the Death Star,SERINA,"07'34""01",454.01,DB,PS4,Freestyle,150,90,16,5
6,Alatreon,Dawn of the Death Star,獅獅,"07'37""00",457.0,Bow,PC,TA Rules,151,91,10,7
6,Alatreon,Dawn of the Death Star,Deaga,"07'39""58",459.58,SA,PS4,TA Rules,152,92,9,8
6,Alatreon,Dawn of the Death Star,cj,"07'40""70",460.7,GS,PS4,TA Rules,153,93,23,17
6,Alatreon,The Evening Star,Crowoly,"07'41""88",461.88,DB,PC,TA Rules,154,61,17,12
6,Alatreon,Dawn of the Death Star,Rbx Vgames,"07'43""25",463.25,LS,PS4,Freestyle,155,94,27,21
6,Alatreon,Dawn of the Death Star,科技海綿,"07'43""43",463.43,LS,PC,Freestyle,156,95,28,22
6,Alatreon,The Evening Star,지바,"07'43""56",463.56,LBG,PC,Freestyle,157,62,7,4
6,Alatreon,The Evening Star,LVIS-Gaming,"07'43""86",463.86,CB,PC,Freestyle,158,63,12,11
6,Alatreon,Dawn of the Death Star,Alternum,"07'45""58",465.58,IG,PC,TA Rules,159,96,11,10
6,Alatreon,Dawn of the Death Star,蜂蜜ゆうた (Yuuta),"07'47""73",467.73,Lance,PS4,Freestyle,160,97,5,5
6,Alatreon,Dawn of the Death Star,uzura,"07'49""01",469.01,HH,PS4,Freestyle,161,98,1,1
6,Alatreon,The Evening Star,KCGemini,"07'49""51",469.51,Lance,PS4,TA Rules,162,64,6,1
6,Alatreon,The Evening Star,Benji-boi,"07'50""25",470.25,SA,PS4,TA Rules,163,65,10,2
6,Alatreon,The Evening Star,Fataripper,"07'50""88",470.88,DB,PS4,Freestyle,164,66,18,13
6,Alatreon,Dawn of the Death Star,Booper,"07'50""96",470.96,SA,PS4,TA Rules,165,99,11,9
6,Alatreon,Dawn of the Death Star,Momo,"07'51""63",471.63,Bow,PC,Freestyle,166,100,11,8
6,Alatreon,Dawn of the Death Star,狂おしい刹那の希望の光が乱れ飛ぶ解放への道筋,"07'51""71",471.71,HH,PS4,Freestyle,167,101,2,2
6,Alatreon,Dawn of the Death Star,factory super,"07'51""76",471.76,SA,PC,TA Rules,168,102,12,10
6,Alatreon,Dawn of the Death Star,ARTA,"07'54""58",474.58,Bow,PC,Freestyle,169,103,12,9
6,Alatreon,Dawn of the Death Star,NickOfTime,"07'56""55",476.55,SA,PC,TA Rules,170,104,13,11
6,Alatreon,The Evening Star,Alternum,"07'56""63",476.63,IG,PC,TA Rules,171,67,12,2
6,Alatreon,Dawn of the Death Star,N1gen,"08'02""16",482.16,LBG,PS4,Freestyle,172,105,8,4
6,Alatreon,The Evening Star,TBT,"08'04""33",484.33,LBG,PS4,TA Rules,173,68,9,5
6,Alatreon,The Evening Star,L,"08'05""26",485.26,Bow,PC,Freestyle,174,69,13,4
6,Alatreon,The Evening Star,Windra,"08'06""41",486.41,DB,PC,Freestyle,175,70,19,14
6,Alatreon,Dawn of the Death Star,Kazane,"08'09""91",489.91,Bow,PC,TA Rules,176,106,14,10
6,Alatreon,The Evening Star,Millium(Millium_밀리엄),"08'10""21",490.21,SnS,PS4,TA Rules,177,71,17,7
6,Alatreon,Dawn of the Death Star,바나나샷아저씨(bananashot),"08'17""96",497.96,LBG,PC,Freestyle,178,107,10,5
6,Alatreon,Dawn of the Death Star,Jahimees,"08'19""33",499.33,LS,PC,Freestyle,179,108,29,23
6,Alatreon,Dawn of the Death Star,Kingwel,"08'22""36",502.36,LS,PC,Freestyle,180,109,30,24
6,Alatreon,Dawn of the Death Star,りざRZX,"08'22""36",502.36,Bow,PS4,TA Rules,181,110,15,11
6,Alatreon,Dawn of the Death Star,강정,"08'22""50",502.5,Bow,PS4,Freestyle,182,111,16,12
6,Alatreon,The Evening Star,Orion,"08'24""61",504.61,CB,PC,Freestyle,183,72,13,12
6,Alatreon,Dawn of the Death Star,やし,"08'27""45",507.45,HH,PS4,Freestyle,184,112,3,3
6,Alatreon,Dawn of the Death Star,王小卷,"08'27""80",507.8,SA,PC,Freestyle,185,113,14,12
6,Alatreon,Dawn of the Death Star,Noctis,"08'31""96",511.96,DB,PC,Freestyle,186,114,20,6
6,Alatreon,The Evening Star,seemo,"08'35""83",515.83,Hammer,PS4,TA Rules,187,73,8,4
6,Alatreon,Dawn of the Death Star,Aneila,"08'37""90",517.9,LS,PS4,TA Rules,188,115,31,25
6,Alatreon,The Evening Star,uzura,"08'38""63",518.63,HH,PS4,Freestyle,189,74,4,1
6,Alatreon,Dawn of the Death Star,のら (Nora),"08'39""33",519.33,SA,PS4,TA Rules,190,116,15,13
6,Alatreon,Dawn of the Death Star,무라마사,"08'41""56",521.56,DB,PS4,TA Rules,191,117,21,7
6,Alatreon,The Evening Star,Angel,"08'41""68",521.68,SA,PC,Freestyle,192,75,16,3
6,Alatreon,The Evening Star,LaiFDtw,"08'42""53",522.53,LS,PC,Freestyle,193,76,32,7
6,Alatreon,The Evening Star,ねね (Nene),"08'42""55",522.55,LBG,PC,TA Rules,194,77,11,6
6,Alatreon,The Evening Star,FEW_CEO,"08'45""91",525.91,DB,PC,Freestyle,195,78,22,15
6,Alatreon,Dawn of the Death Star,Nito,"08'47""25",527.25,LS,PC,TA Rules,196,118,33,26
6,Alatreon,The Evening Star,Mistil,"08'47""88",527.88,GS,PC,TA Rules,197,79,24,7
6,Alatreon,Dawn of the Death Star,ZeroFata,"08'53""11",533.11,Bow,PC,TA Rules,198,119,17,13
6,Alatreon,The Evening Star,강정,"08'54""81",534.81,Bow,PS4,Freestyle,199,80,18,5
6,Alatreon,Dawn of the Death Star,jjjagn,"08'55""41",535.41,Bow,PS4,Freestyle,200,120,19,14
6,Alatreon,The Evening Star,박꽃,"08'59""95",539.95,Bow,PC,Freestyle,201,81,20,6
6,Alatreon,Dawn of the Death Star,ほっとくりん(hotckrin),"09'02""26",542.26,Bow,PS4,Freestyle,202,121,21,15
6,Alatreon,The Evening Star,無限輸出 (sapphlies),"09'02""71",542.71,CB,PC,Freestyle,203,82,14,13
6,Alatreon,Dawn of the Death Star,LonelyLok,"09'15""06",555.06,LS,PC,Freestyle,204,122,34,27
6,Alatreon,Dawn of the Death Star,Woven,"09'19""75",559.75,Lance,PC,TA Rules,205,123,7,6
6,Alatreon,The Evening Star,Kariashi (Binary Star),"09'20""31",560.31,DB,PC,Freestyle,206,83,23,16
6,Alatreon,Dawn of the Death Star,Splurky ,"09'30""00",570.0,CB,PC,Freestyle,207,124,15,2
6,Alatreon,Dawn of the Death Star,MasterBaker,"09'30""61",570.61,GS,PC,TA Rules,208,125,25,18
6,Alatreon,The Evening Star,Jay,"09'30""73",570.73,LBG,PC,TA Rules,209,84,12,7
6,Alatreon,Dawn of the Death Star,Kyle0516,"09'45""76",585.76,Bow,PC,TA Rules,210,126,22,16
6,Alatreon,The Evening Star,GeminiXz,"09'48""83",588.83,LBG,PC,Freestyle,211,85,13,8
6,Alatreon,The Evening Star,sun__eater__,"09'49""38",589.38,HH,PS4,Freestyle,212,86,5,2
6,Alatreon,The Evening Star,Woven,"09'51""76",591.76,Lance,PC,TA Rules,213,87,8,2
6,Alatreon,Dawn of the Death Star,Tera,"09'59""30",599.3,DB,PC,TA Rules,214,127,24,8
6,Alatreon,Dawn of the Death Star,Kariashi (Binary Star),"09'59""81",599.81,DB,PC,Freestyle,215,128,25,9
6,Alatreon,Dawn of the Death Star,Lord'sK,"10'14""50",614.5,Bow,PC,Freestyle,216,129,23,17
6,Alatreon,The Evening Star,Lord'sK,"10'14""98",614.98,Bow,PC,Freestyle,217,88,24,7
6,Alatreon,Dawn of the Death Star,Delacroax,"10'35""75",635.75,SA,PC,Freestyle,218,130,17,14
6,Alatreon,The Evening Star,레테 (Lette),"10'46""28",646.28,LS,PC,TA Rules,219,89,35,8
6,Alatreon,The Evening Star,Delacroax,"10'55""11",655.11,SA,PC,Freestyle,220,90,18,4
6,Alatreon,The Evening Star,Zenkeyron,"11'06""91",666.91,LS,PS4,TA Rules,221,91,36,9
6,Alatreon,The Evening Star,PPKPKPKP,"11'38""38",698.38,HH,PC,TA Rules,222,92,6,3
6,Alatreon,The Evening Star,N00bKefka,"11'47""98",707.98,SA,PC,TA Rules,223,93,19,5
6,Alatreon,Dawn of the Death Star,N00bKefka,"12'27""45",747.45,CB,PC,TA Rules,224,131,16,3
6,Alatreon,The Evening Star,potatotomato,"12'40""23",760.23,HH,PC,TA Rules,225,94,7,4
6,Alatreon,Dawn of the Death Star,potatotomato,"13'43""53",823.53,HH,PC,TA Rules,226,132,8,4
6,Alatreon,Dawn of the Death Star,Taxman,"14'16""36",856.36,HH,PC,TA Rules,227,133,9,5
6,Alatreon,The Evening Star,Zook,"14'49""48",889.48,HH,PC,TA Rules,228,95,10,5
6,Alatreon,The Evening Star,나으리 (Meowster),"14'57""63",897.63,HH,PC,TA Rules,229,96,11,6
6,Arch-tempered Namielle,The Distant Dark Tide,aco,"02'05""56",125.56,HBG,PC,Freestyle,1,1,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,koty,"02'24""75",144.75,HBG,PC,Freestyle,2,2,2,2
6,Arch-tempered Namielle,The Distant Dark Tide,VANS,"02'38""01",158.01,HBG,PC,Freestyle,3,3,3,3
6,Arch-tempered Namielle,The Distant Dark Tide,Dr. W,"03'38""78",218.78,Bow,PC,Freestyle,4,4,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,HK_MH_OLAY,"03'39""65",219.65,GS,PC,Freestyle,5,5,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,獅獅,"04'10""51",250.51,Bow,PC,Freestyle,6,6,2,2
6,Arch-tempered Namielle,The Distant Dark Tide,Tidus69,"04'12""00",252.0,Bow,PC,Freestyle,7,7,3,3
6,Arch-tempered Namielle,The Distant Dark Tide,Randel Daora,"04'17""33",257.33,LBG,PC,Freestyle,8,8,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,为了实现最后的梦,"05'32""95",332.95,LS,PC,Freestyle,9,9,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,tatsuffy,"05'34""66",334.66,HBG,PS4,Freestyle,10,10,4,4
6,Arch-tempered Namielle,The Distant Dark Tide,Relial,"05'36""45",336.45,Bow,PC,TA Rules,11,11,4,4
6,Arch-tempered Namielle,The Distant Dark Tide,강정,"05'37""35",337.35,Bow,PS4,Freestyle,12,12,5,5
6,Arch-tempered Namielle,The Distant Dark Tide,HCZS,"05'39""00",339.0,CB,PC,Freestyle,13,13,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,Kazane,"05'44""10",344.1,Bow,PC,Freestyle,14,14,6,6
6,Arch-tempered Namielle,The Distant Dark Tide,Scrillix,"05'48""48",348.48,SA,PC,Freestyle,15,15,1,1
6,Arch-tempered Namielle,The Distant Dark Tide,Kikitoudur,"05'49""93",349.93,Bow,PS4,Freestyle,16,16,7,7
