Star Rating,Monster Name,Quest,Runner,Time,Weapon,Platform,Ruleset
6,Alatreon,Dawn of the Death Star,望遠鏡 (VulpesMH),"05'08""05",Sword And Shield,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,ボム (Bomb),"05'08""31",Great Sword,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,HK_MH_OLAY,"05'09""26",Great Sword,PC,Freestyle
6,Alatreon,The Evening Star,yinyin lai,"05'11""33",Charge Blade,PC,Freestyle
6,Alatreon,The Evening Star,HCZS,"05'14""06",Charge Blade,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Anri,"05'15""76",Switch Axe,PC,Freestyle
6,Alatreon,Dawn of the Death Star,HCZS,"05'18""93",Charge Blade,PC,Freestyle
6,Alatreon,Dawn of the Death Star,slime,"05'19""91",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,0口0 (WeeeXD),"05'21""65",Great Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,レガリア (Regalia),"05'22""10",Switch Axe,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,[BK]별빛대성,"05'22""30",Great Sword,PS4,Freestyle
6,Alatreon,The Evening Star,Vivern96,"05'24""58",Dual Blades,PC,Freestyle
6,Alatreon,Dawn of the Death Star,흙손대장 (SandHand),"05'25""85",Great Sword,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Teo,"05'26""85",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,望遠鏡 (VulpesMH),"05'27""20",Sword And Shield,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,CHE car,"05'29""33",Great Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,[BK]별빛대성,"05'30""13",Great Sword,PS4,Freestyle
6,Alatreon,The Evening Star,いわたわし (Iwatawashi),"05'30""85",Charge Blade,PS4,Freestyle
6,Alatreon,The Evening Star,crafter_king_,"05'30""93",Bow,PC,Freestyle
6,Alatreon,Dawn of the Death Star,miralis,"05'31""96",Great Sword,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,suzume,"05'32""00",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Mzly,"05'32""71",Long Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,KhalidSenpai,"05'33""08",Insect Glaive,PC,TA Rules
6,Alatreon,Dawn of the Death Star,霞绫,"05'33""15",Long Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,crafter_king_,"05'33""60",Bow,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Firefly,"05'35""03",Switch Axe,PC,Freestyle
6,Alatreon,Dawn of the Death Star,HK_MH_OLAY,"05'35""03",Great Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,TyOx MH,"05'35""20",Gunlance,Xbox,Freestyle
6,Alatreon,Dawn of the Death Star,TyOx MH,"05'35""20",Gunlance,Xbox,Freestyle
6,Alatreon,The Evening Star,인생은셀프 (JIN),"05'35""40",Sword And Shield,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,だるまゆき (Daruma Yuki),"05'35""43",Switch Axe,PS4,Freestyle
6,Alatreon,The Evening Star,대전설GLGD,"05'35""66",Dual Blades,PC,Freestyle
6,Alatreon,The Evening Star,Mzly,"05'36""21",Long Sword,PC,Freestyle
6,Alatreon,The Evening Star,slime,"05'36""41",Sword And Shield,PC,TA Rules
6,Alatreon,The Evening Star,Vivern96,"05'38""20",Switch Axe,PC,Freestyle
6,Alatreon,The Evening Star,Nephalem,"05'39""10",Charge Blade,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Aris,"05'39""23",Great Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Jared,"05'39""31",Sword And Shield,PC,Freestyle
6,Alatreon,The Evening Star,사명대갈 (sa myeong),"05'39""78",Sword And Shield,PS4,Freestyle
6,Alatreon,The Evening Star,Ryo,"05'40""01",Gunlance,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,玄茶,"05'40""50",Hammer,PS4,Freestyle
6,Alatreon,The Evening Star,GODJUN,"05'41""20",Charge Blade,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,String,"05'41""41",Lance,PC,Freestyle
6,Alatreon,The Evening Star,Qy_C,"05'41""85",Long Sword,PC,TA Rules
6,Alatreon,The Evening Star,Note,"05'43""03",Dual Blades,PC,Freestyle
6,Alatreon,Dawn of the Death Star,KhalidSenpai,"05'43""63",Insect Glaive,PC,TA Rules
6,Alatreon,The Evening Star,(토르)Thor,"05'43""78",Charge Blade,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Aris,"05'46""03",Great Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,だーよし,"05'46""46",Insect Glaive,PC,TA Rules
6,Alatreon,Dawn of the Death Star,골다,"05'46""80",Great Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Pochi,"05'47""35",Insect Glaive,PS4,Freestyle
6,Alatreon,The Evening Star,Theo,"05'48""13",Charge Blade,PC,TA Rules
6,Alatreon,The Evening Star,黑泽阳一,"05'48""16",Dual Blades,PC,TA Rules
6,Alatreon,The Evening Star,Jackdaw갈까마귀,"05'48""18",Heavy Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Hydrogen,"05'48""48",Long Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,u1usq_,"05'48""68",Light Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Ryan,"05'49""26",Great Sword,PC,TA Rules
6,Alatreon,The Evening Star,대전설GLGD,"05'50""48",Dual Blades,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Vivern96,"05'50""61",Dual Blades,PC,Freestyle
6,Alatreon,Dawn of the Death Star,あーるえむ,"05'50""78",Long Sword,PC,Freestyle
6,Alatreon,The Evening Star,Tidus69,"05'50""95",Bow,PC,Freestyle
6,Alatreon,Dawn of the Death Star,SavageDiavolo,"05'51""51",Sword And Shield,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Teo,"05'51""56",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Ogarddrago,"05'52""00",Long Sword,PC,Freestyle
6,Alatreon,The Evening Star,(토르)Thor,"05'52""28",Charge Blade,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Theo,"05'53""75",Insect Glaive,PC,TA Rules
6,Alatreon,The Evening Star,Ruse,"05'54""03",Dual Blades,PC,Freestyle
6,Alatreon,Dawn of the Death Star,latellight,"05'54""68",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,ひらひら,"05'54""96",Great Sword,PS4,Freestyle
6,Alatreon,The Evening Star,Ryo,"05'55""16",Gunlance,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,あーるえむ,"05'56""05",Long Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,slime,"05'56""33",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Heartfilia,"05'56""55",Long Sword,PC,TA Rules
6,Alatreon,The Evening Star,Rainy,"05'56""70",Charge Blade,PC,TA Rules
6,Alatreon,The Evening Star,[BK]별빛대성,"05'57""06",Great Sword,PS4,Freestyle
6,Alatreon,The Evening Star,0口0 (WeeeXD),"05'57""21",Great Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,casti94,"05'57""41",Long Sword,PC,Freestyle
6,Alatreon,The Evening Star,Pochi,"05'57""45",Insect Glaive,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,suzume,"05'57""63",Sword And Shield,PC,TA Rules
6,Alatreon,The Evening Star,GhostCortex,"05'57""65",Dual Blades,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,Hydrogen,"05'57""68",Long Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,z00p,"05'57""95",Sword And Shield,PC,TA Rules
6,Alatreon,The Evening Star,マサ (masa),"05'58""43",Dual Blades,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Firefly,"05'58""65",Switch Axe,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Jay,"05'59""25",Insect Glaive,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Vivern96,"05'59""40",Long Sword,PC,Freestyle
6,Alatreon,The Evening Star,Doong,"05'59""93",Charge Blade,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Firefly,"06'03""86",Switch Axe,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Hydrogen,"06'06""81",Long Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Cosmoplayer,"06'07""66",Long Sword,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Heartfilia,"06'08""93",Long Sword,PC,TA Rules
6,Alatreon,The Evening Star,YAMA,"06'09""08",Gunlance,PS4,Freestyle
6,Alatreon,The Evening Star,Attacker,"06'10""31",Dual Blades,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,z00p,"06'11""33",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Anri,"06'11""63",Switch Axe,PC,Freestyle
6,Alatreon,Dawn of the Death Star,CHE car,"06'12""31",Great Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,KhalidSenpai,"06'12""45",Insect Glaive,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Jared,"06'12""63",Sword And Shield,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Synergy Mygos,"06'13""61",Long Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,普通人阿懒,"06'14""30",Great Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,あーるえむ,"06'14""40",Long Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Teo,"06'15""26",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Tidus69,"06'15""48",Bow,PC,Freestyle
6,Alatreon,Dawn of the Death Star,たちばなな (Tachibanana),"06'16""70",Long Sword,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Hydrogen,"06'17""35",Long Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Konnorad,"06'18""13",Dual Blades,PC,Freestyle
6,Alatreon,Dawn of the Death Star,だーよし,"06'19""11",Insect Glaive,PC,TA Rules
6,Alatreon,Dawn of the Death Star,dufte,"06'20""45",Long Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star, miko,"06'21""06",Long Sword,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,Remi,"06'21""10",Insect Glaive,PC,Freestyle
6,Alatreon,Dawn of the Death Star,slime,"06'22""30",Sword And Shield,PC,TA Rules
6,Alatreon,The Evening Star,Doong,"06'22""65",Charge Blade,PC,Freestyle
6,Alatreon,The Evening Star,あーるえむ,"06'23""35",Long Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Pochi,"06'23""55",Insect Glaive,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,TyOx MH,"06'24""16",Gunlance,Xbox,Freestyle
6,Alatreon,The Evening Star,Ruse,"06'25""36",Dual Blades,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Woong TV,"06'25""80",Long Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,suzume,"06'26""11",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,LionHart,"06'27""03",Hammer,PC,Freestyle
6,Alatreon,Dawn of the Death Star,寝不足ちゃん,"06'27""30",Insect Glaive,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,放学后的大表哥w,"06'27""48",Switch Axe,PC,TA Rules
6,Alatreon,The Evening Star,Pochi,"06'28""48",Hammer,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Cosmoplayer,"06'29""08",Long Sword,PS4,Freestyle
6,Alatreon,The Evening Star,Note,"06'29""96",Dual Blades,PC,Freestyle
6,Alatreon,The Evening Star,黑化由岐,"06'30""31",Dual Blades,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,Heartfilia,"06'30""38",Long Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,TBT,"06'32""08",Light Bowgun,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,suzume,"06'32""38",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star, miko,"06'32""91",Long Sword,PS4,TA Rules
6,Alatreon,The Evening Star,あーるえむ,"06'32""98",Long Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,V--14--,"06'33""26",Heavy Bowgun,PS4,Freestyle
6,Alatreon,The Evening Star,Doong,"06'34""13",Charge Blade,PC,Freestyle
6,Alatreon,Dawn of the Death Star,恶魔的眼睛xx,"06'34""58",Long Sword,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,RUI,"06'35""53",Long Sword,PS4,TA Rules
6,Alatreon,The Evening Star,Ryo,"06'38""40",Gunlance,PS4,Freestyle
6,Alatreon,The Evening Star,ボム (Bomb),"06'38""55",Great Sword,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,霞绫,"06'38""83",Long Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,だーよし,"06'39""90",Insect Glaive,PC,TA Rules
6,Alatreon,Dawn of the Death Star,SavageDiavolo,"06'40""58",Sword And Shield,PS4,Freestyle
6,Alatreon,The Evening Star,マサ (masa),"06'41""73",Dual Blades,PS4,Freestyle
6,Alatreon,The Evening Star,YAMA,"06'42""00",Gunlance,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Teo,"06'45""30",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,TBT,"06'46""03",Light Bowgun,PS4,TA Rules
6,Alatreon,The Evening Star,TITENGGALET,"06'46""06",Dual Blades,PC,Freestyle
6,Alatreon,The Evening Star,なつめ棗 (Natsume),"06'46""06",Dual Blades,PS4,TA Rules
6,Alatreon,The Evening Star,Note,"06'47""38",Dual Blades,PC,Freestyle
6,Alatreon,Dawn of the Death Star,郁闷的岚龙,"06'48""38",Hammer,PC,TA Rules
6,Alatreon,The Evening Star,slime,"06'49""38",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,梭梭m,"06'49""83",Insect Glaive,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Benji-boi,"06'49""90",Switch Axe,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,むぎ (mugi),"06'49""91",Long Sword,PS4,TA Rules
6,Alatreon,The Evening Star,Doong,"06'50""68",Charge Blade,PC,Freestyle
6,Alatreon,Dawn of the Death Star,nursEcoli,"06'51""26",Dual Blades,PC,Freestyle
6,Alatreon,The Evening Star,玄茶,"06'51""51",Hammer,PS4,Freestyle
6,Alatreon,The Evening Star,Attacker,"06'53""50",Dual Blades,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,KCGemini,"06'53""65",Lance,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,crafter_king_,"06'53""88",Bow,PC,TA Rules
6,Alatreon,The Evening Star,Vivern96,"06'55""13",Long Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Heartfilia,"06'55""68",Long Sword,PC,TA Rules
6,Alatreon,The Evening Star,抹茶 (Matcha),"06'55""71",Gunlance,PS4,Freestyle
6,Alatreon,The Evening Star,Ruse,"06'56""06",Dual Blades,PC,Freestyle
6,Alatreon,Dawn of the Death Star,とないと (tonight),"06'56""08",Bow,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Vycery,"06'56""25",Bow,PC,Freestyle
6,Alatreon,Dawn of the Death Star,slime,"06'56""45",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,けるこ,"06'56""56",Light Bowgun,PS4,Freestyle
6,Alatreon,The Evening Star,Fan,"06'56""65",Charge Blade,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Vivern96,"06'57""15",Dual Blades,PC,Freestyle
6,Alatreon,The Evening Star,바나나샷아저씨(bananashot),"06'57""96",Light Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,바나나샷아저씨(bananashot),"06'57""96",Light Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Cosmoplayer,"06'58""58",Long Sword,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Honeybutter,"06'59""88",Long Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,seemo,"06'59""98",Hammer,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,Jay,"07'01""68",Insect Glaive,PC,TA Rules
6,Alatreon,Dawn of the Death Star,LucentAegis (イージス),"07'05""06",Long Sword,PS4,TA Rules
6,Alatreon,The Evening Star,crafter_king_,"07'05""33",Bow,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Okami,"07'06""63",Great Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,むぎ (mugi),"07'06""91",Long Sword,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,むぎ (mugi),"07'06""91",Long Sword,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,けるこ,"07'07""23",Light Bowgun,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Teo,"07'07""48",Sword And Shield,PC,TA Rules
6,Alatreon,The Evening Star,Vivern96,"07'10""63",Long Sword,PC,Freestyle
6,Alatreon,The Evening Star, Mai LBG,"07'12""83",Light Bowgun,PC,TA Rules
6,Alatreon,Dawn of the Death Star,suzume,"07'13""45",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,shinobu ssb4,"07'13""60",Lance,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,seemo,"07'14""01",Hammer,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,Heartfilia,"07'14""13",Long Sword,PC,TA Rules
6,Alatreon,The Evening Star,玄茶,"07'15""30",Hammer,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Cosmoplayer,"07'17""15",Long Sword,PS4,Freestyle
6,Alatreon,The Evening Star,RUI,"07'19""53",Long Sword,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,arnold,"07'19""83",Bow,PC,TA Rules
6,Alatreon,The Evening Star,Note,"07'20""06",Dual Blades,PC,Freestyle
6,Alatreon,Dawn of the Death Star,ケツの割れ目桃太 (Ketsunowarememomota),"07'21""56",Long Sword,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,Lis,"07'22""11",Bow,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Yae,"07'23""73",Lance,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Jay,"07'24""31",Insect Glaive,PC,TA Rules
6,Alatreon,The Evening Star,とないと (tonight),"07'27""33",Bow,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,crafter_king_,"07'28""04",Bow,PC,Freestyle
6,Alatreon,Dawn of the Death Star,个远点,"07'28""76",Insect Glaive,PS4,TA Rules
6,Alatreon,The Evening Star,Mars丶永恒,"07'30""13",Long Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Benji-boi,"07'30""61",Switch Axe,PS4,TA Rules
6,Alatreon,The Evening Star,Stefano,"07'32""16",Great Sword,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Windra,"07'33""05",Dual Blades,PC,Freestyle
6,Alatreon,The Evening Star,Doong,"07'33""28",Charge Blade,PC,Freestyle
6,Alatreon,The Evening Star,LionHart,"07'33""38",Hammer,PC,Freestyle
6,Alatreon,Dawn of the Death Star,SERINA,"07'34""01",Dual Blades,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,arnold,"07'35""71",Bow,PC,TA Rules
6,Alatreon,Dawn of the Death Star,arnold,"07'35""71",Bow,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Jay,"07'35""95",Insect Glaive,PC,TA Rules
6,Alatreon,Dawn of the Death Star,獅獅,"07'37""00",Bow,PC,TA Rules
6,Alatreon,The Evening Star,Doong,"07'38""80",Charge Blade,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Vivern96,"07'39""15",Long Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Deaga,"07'39""58",Switch Axe,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,Teo,"07'40""45",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,cj,"07'40""70",Great Sword,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,arnold,"07'40""83",Bow,PC,TA Rules
6,Alatreon,Dawn of the Death Star,slime,"07'41""51",Sword And Shield,PC,TA Rules
6,Alatreon,The Evening Star,Crowoly,"07'41""88",Dual Blades,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Rbx Vgames,"07'43""25",Long Sword,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,科技海綿,"07'43""43",Long Sword,PC,Freestyle
6,Alatreon,The Evening Star,지바,"07'43""56",Light Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,LVIS-Gaming,"07'43""86",Charge Blade,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Alternum,"07'45""58",Insect Glaive,PC,TA Rules
6,Alatreon,Dawn of the Death Star,蜂蜜ゆうた (Yuuta),"07'47""73",Lance,PS4,Freestyle
6,Alatreon,The Evening Star,바나나샷아저씨(bananashot),"07'47""78",Light Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,uzura,"07'49""01",Hunting Horn,PS4,Freestyle
6,Alatreon,The Evening Star,KCGemini,"07'49""51",Lance,PS4,TA Rules
6,Alatreon,The Evening Star,Benji-boi,"07'50""25",Switch Axe,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,SERINA,"07'50""48",Dual Blades,PS4,Freestyle
6,Alatreon,The Evening Star,Fataripper,"07'50""88",Dual Blades,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Booper,"07'50""96",Switch Axe,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,Tidus69,"07'51""21",Bow,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Momo,"07'51""63",Bow,PC,Freestyle
6,Alatreon,Dawn of the Death Star,狂おしい刹那の希望の光が乱れ飛ぶ解放への道筋,"07'51""71",Hunting Horn,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,factory super,"07'51""76",Switch Axe,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Jackdaw갈까마귀,"07'54""28",Heavy Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,Jackdaw갈까마귀,"07'54""28",Heavy Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,ARTA,"07'54""58",Bow,PC,Freestyle
6,Alatreon,Dawn of the Death Star,むぎ (mugi),"07'55""20",Long Sword,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,Yae,"07'55""21",Lance,PC,TA Rules
6,Alatreon,Dawn of the Death Star,とないと (tonight),"07'55""60",Bow,PS4,Freestyle
6,Alatreon,The Evening Star,KCGemini,"07'56""26",Lance,PS4,TA Rules
6,Alatreon,Dawn of the Death Star,NickOfTime,"07'56""55",Switch Axe,PC,TA Rules
6,Alatreon,The Evening Star,Alternum,"07'56""63",Insect Glaive,PC,TA Rules
6,Alatreon,Dawn of the Death Star,crafter_king_,"07'57""36",Bow,PC,TA Rules
